id,full_name,email,password,role,job_category,specific_role,skills,experience_level,experience_years,location,success_rate_job,jobs_completed,client_rating,rehire_rate,min_budget_idr,hourly_rate_usd,earnings_usd,platform_origin,project_type,is_available,profile_verified,created_at
4126,Puspa Thamrin,puspa.thamrin477@gmail.com,$2b$10$lOFBaETjp0rB6RUNP510W.HmiqcIWld0DkEMHVXwzcUg7M6x9Q/2u,creative_worker,Video Editor,Documentary Editor,"Sound Design, DaVinci Resolve, Filmora, Final Cut Pro, 4K Editing, CapCut, Color Grading",Expert,9,Denpasar,77.4,341,4.03,68,3942000,74.77,4819.61,Freelancer,Milestone,1,1,2025-11-12 7:35:09
4127,Ajimin Puspasari,ajimin.puspasari484@icloud.com,$2b$10$lJ3EpiiilMzZTtPK6o36ueAO/Js3OAEKGtCt1ioP9DRXAv3p4VD9K,creative_worker,Video Editor,YouTube Editor,"Filmora, After Effects, Sound Design, DaVinci Resolve, CapCut, Adobe Premiere Pro, Motion Graphics",Expert,10,Pekanbaru,99.9,178,4.52,74.4,7834000,22.9,4400.85,Freelancer,Milestone,1,1,2025-02-04 2:26:30
4128,"Sutan Cawisono Winarno, S.Kom",sutan.cawisono.winarno.s.kom231@konekin.id,$2b$10$9V7WM6OryC5gxeAfHtVgLeCCFy4sHg3sFeG3VPaeInC8RJdBdXLym,creative_worker,Video Editor,VFX Artist,"DaVinci Resolve, 4K Editing, After Effects, Motion Graphics, Final Cut Pro, CapCut, Color Grading",Expert,14,Bogor,79.6,338,4.24,72.9,5166000,30.78,3023.17,PeoplePerHour,Hourly,0,1,2024-12-19 15:12:27
4129,Xanana Marpaung,xanana.marpaung273@gmail.com,$2b$10$mMzoiB6EbeUTYWeYgtMVEOr/MXz5MJdRoxTpKpUdC/u6DBJLqfyb6,creative_worker,Video Editor,YouTube Editor,"CapCut, Adobe Premiere Pro, After Effects",Beginner,1,Yogyakarta,58.8,26,3.2,51,5588000,66.75,3731.06,Fiverr,Hourly,1,1,2023-08-13 23:24:04
4130,"Raisa Saputra, M.Kom.",raisa.saputra.m.kom.22@konekin.id,$2b$10$11FSd3KX1/9Yk23heGb75OOzUNWz68hTEdhzuznWGR1phW62Rvg9G,creative_worker,Video Editor,Videographer,"After Effects, DaVinci Resolve, Motion Graphics, Filmora, Sound Design, CapCut, 4K Editing",Expert,9,Bandung,99.9,231,4.38,58.3,8254000,56.32,4354.68,Freelancer,Retainer,1,1,2023-09-19 13:20:59
4131,Surya Wasita,surya.wasita272@icloud.com,$2b$10$XLFVX4iMQWm/y5LJfBH44OcRELtlaZHj9CAVi4BlVC/dZ4YhCozuu,creative_worker,Video Editor,VFX Artist,"4K Editing, Motion Graphics, After Effects",Beginner,2,Semarang,47.7,28,2.16,18.8,920000,16.31,1137.97,PeoplePerHour,Fixed,1,0,2024-01-03 4:40:33
4132,Rahmi Marbun,rahmi.marbun141@gmail.com,$2b$10$hM1dP620208GIDh3bSQH6eCIteGzf4sQVlNyukgBMCupdQFRyG00a,creative_worker,Video Editor,Reels & Shorts Editor,"4K Editing, CapCut, Sound Design, Final Cut Pro, Filmora",Intermediate,5,Jakarta,73.7,53,3.32,61.5,2203000,54.72,1193.06,Freelancer,Retainer,1,1,2026-01-07 7:49:43
4133,Estiono Kurniawan,estiono.kurniawan414@outlook.com,$2b$10$ydJHVpWmJRKh1qtAE3wJKuziEmRHy0m9SrcJa2sj8cOhlsg8qlo.q,creative_worker,Video Editor,Video Editor,"4K Editing, Motion Graphics, CapCut",Beginner,1,Depok,50.3,11,1.84,40.2,751000,36.03,843.09,Freelancer,Milestone,1,1,2023-05-09 12:59:37
4134,"Gaiman Fujiati, M.Farm",gaiman.fujiati.m.farm784@konekin.id,$2b$10$mMzoiB6EbeUTYWeYgtMVEOr/MXz5MJdRoxTpKpUdC/u6DBJLqfyb6,creative_worker,Video Editor,Color Grading Specialist,"4K Editing, Final Cut Pro, After Effects, Adobe Premiere Pro, Motion Graphics",Intermediate,5,Bekasi,75.8,44,4.12,59.6,4598000,69.71,3396.02,Koneksi Pribadi,Hourly,1,1,2025-12-04 8:52:40
4135,"drg. Melinda Prabowo, S.H.",drg..melinda.prabowo.s.h.469@yahoo.com,$2b$10$.tKY/dCn6kycHE3w7HAQSesWjLUkMO4KLJeW0qQknUh/16n5x9MyS,creative_worker,Video Editor,Color Grading Specialist,"CapCut, 4K Editing, DaVinci Resolve, Motion Graphics, Color Grading",Intermediate,3,Bekasi,71.5,42,3.23,63,5245000,10.06,5448.4,Koneksi Pribadi,Hourly,1,1,2023-08-24 1:02:36
4136,Hasan Handayani,hasan.handayani946@gmail.com,$2b$10$esOP.2sm3zqWj6muZvyqQeqYNMpiTdwvqIyMQQLdl..EvMvim7wim,creative_worker,Video Editor,Color Grading Specialist,"After Effects, Adobe Premiere Pro, Motion Graphics",Beginner,2,Palembang,66.8,10,3.53,50.5,7377000,60.28,4950.95,Koneksi Pribadi,Retainer,1,1,2024-09-01 22:56:43
4137,"Kiandra Susanti, S.Sos",kiandra.susanti.s.sos723@icloud.com,$2b$10$bF4XAYqEp0/3BZPdEXI9XO24Ao2s38L2PgIvGBGsM.17uQTFT1PaG,creative_worker,Video Editor,Videographer,"Filmora, 4K Editing, Sound Design, Adobe Premiere Pro, Motion Graphics",Intermediate,4,Palembang,68.5,30,4.11,40.5,8376000,60.52,5034.13,PeoplePerHour,Retainer,1,1,2023-05-31 7:12:40
4138,"T. Danang Wulandari, M.Kom.",t..danang.wulandari.m.kom.868@konekin.id,$2b$10$uxnQnkSaOojGr0XWBJzKp.iyV/GJjdaPL/ZYjqHpoBMHkbiLIt6Tu,creative_worker,Video Editor,Videographer,"After Effects, CapCut, Color Grading, Final Cut Pro, 4K Editing",Intermediate,3,Malang,74,51,3.32,59.7,1248000,52.95,1530.71,Fiverr,Fixed,1,1,2024-08-26 12:23:21
4139,Tgk. Galur Damanik,tgk..galur.damanik662@gmail.com,$2b$10$11FSd3KX1/9Yk23heGb75OOzUNWz68hTEdhzuznWGR1phW62Rvg9G,creative_worker,Video Editor,Videographer,"Motion Graphics, Filmora, Final Cut Pro, CapCut, Sound Design, Color Grading, DaVinci Resolve",Expert,6,Balikpapan,97.6,362,4.88,75.6,1979000,32.65,1098.87,Konekin,Milestone,0,1,2024-11-02 20:51:45
4140,drg. Zalindra Handayani,drg..zalindra.handayani917@konekin.id,$2b$10$h/alQU2q/37tERRV6n.HTeqRmNVGh3ss2gX1eywggJ.cznOXXtlJG,creative_worker,Video Editor,Video Editor,"Sound Design, After Effects, CapCut, Final Cut Pro, 4K Editing",Intermediate,3,Balikpapan,80.2,143,3.67,68.7,9778000,62.69,6638.07,Koneksi Pribadi,Fixed,1,1,2025-02-28 16:23:35
4141,Dinda Hutagalung,dinda.hutagalung606@konekin.id,$2b$10$esOP.2sm3zqWj6muZvyqQeqYNMpiTdwvqIyMQQLdl..EvMvim7wim,creative_worker,Video Editor,Motion Graphic Designer,"After Effects, Sound Design, Motion Graphics, 4K Editing, DaVinci Resolve, Color Grading, Adobe Premiere Pro",Expert,7,Manado,79.6,402,4.07,77.2,8353000,20.71,6448.84,Konekin,Hourly,0,1,2025-02-22 13:07:05
4142,"Sabrina Waluyo, S.E.",sabrina.waluyo.s.e.47@outlook.com,$2b$10$KyISMiIAvcHdibbDXG3W0ON.egUn2e4HHKSpu/BXeHTrj0mEwS25u,creative_worker,Video Editor,Videographer,"Filmora, Color Grading, 4K Editing, Adobe Premiere Pro, CapCut",Intermediate,3,Denpasar,68.2,140,3.83,57.7,6794000,36.29,6426.93,Toptal,Fixed,1,1,2025-09-15 13:46:14
4143,Darimin Sihotang,darimin.sihotang24@icloud.com,$2b$10$.tKY/dCn6kycHE3w7HAQSesWjLUkMO4KLJeW0qQknUh/16n5x9MyS,creative_worker,Video Editor,VFX Artist,"Adobe Premiere Pro, DaVinci Resolve, Sound Design",Beginner,1,Pekanbaru,41.2,18,2.42,48.4,2021000,45.31,1172.26,Toptal,Retainer,1,0,2024-05-27 3:35:45
4144,Hilda Siregar,hilda.siregar827@outlook.com,$2b$10$bF4XAYqEp0/3BZPdEXI9XO24Ao2s38L2PgIvGBGsM.17uQTFT1PaG,creative_worker,Video Editor,YouTube Editor,"4K Editing, Sound Design, Motion Graphics",Beginner,2,Semarang,52.4,40,2.34,54.4,1855000,50.95,1180.03,Fiverr,Fixed,1,1,2026-01-14 12:32:02
4145,Rahayu Halimah,rahayu.halimah923@icloud.com,$2b$10$lJ3EpiiilMzZTtPK6o36ueAO/Js3OAEKGtCt1ioP9DRXAv3p4VD9K,creative_worker,Video Editor,Motion Graphic Designer,"Color Grading, Final Cut Pro, DaVinci Resolve, Motion Graphics, CapCut, Sound Design, After Effects",Expert,8,Solo,87,278,4.02,83.5,2730000,51.83,1855.09,Konekin,Hourly,1,1,2026-03-23 16:17:24
4146,"Warji Pratiwi, S.H.",warji.pratiwi.s.h.862@konekin.id,$2b$10$eZT5K/vM1d3A6CtN5k88/.bTrmTmBi6ODcYssIUyvEfXz5p6RRM9e,creative_worker,Video Editor,Documentary Editor,"Filmora, 4K Editing, Adobe Premiere Pro",Beginner,1,Tangerang,45.1,37,2.65,48.5,9799000,60.34,5323.18,PeoplePerHour,Retainer,1,0,2025-04-12 7:58:14
4147,Jabal Damanik,jabal.damanik603@konekin.id,$2b$10$uxnQnkSaOojGr0XWBJzKp.iyV/GJjdaPL/ZYjqHpoBMHkbiLIt6Tu,creative_worker,Video Editor,Color Grading Specialist,"Final Cut Pro, DaVinci Resolve, Color Grading, Filmora, Motion Graphics",Intermediate,3,Palembang,72.6,89,4.07,60.3,5576000,17.16,3448.42,Freelancer,Milestone,1,1,2024-07-05 3:53:40
4148,Karen Wibowo,karen.wibowo472@outlook.com,$2b$10$jxo42mUwZQgGLTwD0tWQMetlW9aWGO8i2C5Wg0LdjJb1R0TGcPQcu,creative_worker,Video Editor,Motion Graphic Designer,"Filmora, Motion Graphics, 4K Editing, DaVinci Resolve, After Effects",Intermediate,5,Denpasar,71.4,57,3.61,60.6,6597000,34.67,6633.21,Fiverr,Hourly,1,1,2023-05-28 12:36:50
4149,Tari Hassanah,tari.hassanah502@outlook.com,$2b$10$mMzoiB6EbeUTYWeYgtMVEOr/MXz5MJdRoxTpKpUdC/u6DBJLqfyb6,creative_worker,Video Editor,Motion Graphic Designer,"After Effects, DaVinci Resolve, Color Grading, Motion Graphics, Final Cut Pro, Filmora, Adobe Premiere Pro",Expert,9,Surabaya,88.7,457,4.41,79.1,992000,58.63,570.89,Konekin,Milestone,1,1,2026-01-26 6:50:48
4150,Ibrani Rajasa,ibrani.rajasa44@konekin.id,$2b$10$ydJHVpWmJRKh1qtAE3wJKuziEmRHy0m9SrcJa2sj8cOhlsg8qlo.q,creative_worker,Video Editor,Reels & Shorts Editor,"Motion Graphics, Filmora, Color Grading",Beginner,1,Semarang,41.5,37,2.44,47.6,5760000,49.76,4822.18,Toptal,Hourly,1,1,2024-05-21 15:10:39
4151,Karimah Rajata,karimah.rajata506@konekin.id,$2b$10$URVgcu4DLdubHJg54N9.ZuPrUHAy/73IXoPntcHC1UjMaofAzJcYe,creative_worker,Video Editor,Documentary Editor,"Filmora, After Effects, Sound Design, Adobe Premiere Pro, Final Cut Pro",Intermediate,3,Medan,75.1,50,4.16,72.6,10519000,45.82,5786.26,Koneksi Pribadi,Fixed,0,1,2024-10-11 9:43:53
4152,Darmaji Padmasari,darmaji.padmasari625@outlook.com,$2b$10$PpikZa2HME0U0EPOC8RTYOk9CpJrerHruAn9pji4vn5YRyd9D.zUq,creative_worker,Video Editor,Reels & Shorts Editor,"Final Cut Pro, DaVinci Resolve, Filmora, After Effects, Sound Design",Intermediate,4,Denpasar,69.4,128,3.82,78.7,902000,64.65,1249.95,Konekin,Milestone,1,1,2025-04-11 19:39:19
4153,Drs. Yessi Napitupulu,drs..yessi.napitupulu567@konekin.id,$2b$10$Y87Y1nCupf1KD6fUhv4xYOEP9it/F3qpwbl8XSm0luc9zyp.fCqka,creative_worker,Video Editor,Videographer,"After Effects, DaVinci Resolve, Adobe Premiere Pro",Beginner,1,Malang,68.5,25,3.28,41.8,9337000,36.59,4961.69,Toptal,Retainer,1,0,2025-11-17 22:36:38
4154,Karimah Hardiansyah,karimah.hardiansyah66@konekin.id,$2b$10$11FSd3KX1/9Yk23heGb75OOzUNWz68hTEdhzuznWGR1phW62Rvg9G,creative_worker,Video Editor,Color Grading Specialist,"Sound Design, Adobe Premiere Pro, Color Grading",Beginner,2,Bandung,41.5,21,1.87,53.3,6317000,65.52,5696.37,Upwork,Hourly,1,1,2025-08-16 14:17:04
4155,Nugraha Manullang,nugraha.manullang610@icloud.com,$2b$10$ydJHVpWmJRKh1qtAE3wJKuziEmRHy0m9SrcJa2sj8cOhlsg8qlo.q,creative_worker,Video Editor,Reels & Shorts Editor,"4K Editing, After Effects, Final Cut Pro, Sound Design, Adobe Premiere Pro",Intermediate,3,Denpasar,67.4,140,2.97,48.5,8055000,33.97,4250.62,Koneksi Pribadi,Milestone,1,1,2023-08-15 6:55:57
4156,"Puspa Hardiansyah, S.T.",puspa.hardiansyah.s.t.373@icloud.com,$2b$10$mMzoiB6EbeUTYWeYgtMVEOr/MXz5MJdRoxTpKpUdC/u6DBJLqfyb6,creative_worker,Video Editor,Motion Graphic Designer,"Final Cut Pro, 4K Editing, Motion Graphics, CapCut, After Effects, Color Grading, Adobe Premiere Pro",Expert,14,Solo,85.3,125,4.25,74.5,4488000,35.81,4513.36,PeoplePerHour,Milestone,1,1,2023-07-31 21:52:29
4157,Mila Maryadi,mila.maryadi11@gmail.com,$2b$10$jxo42mUwZQgGLTwD0tWQMetlW9aWGO8i2C5Wg0LdjJb1R0TGcPQcu,creative_worker,Video Editor,Documentary Editor,"Motion Graphics, Color Grading, Final Cut Pro, After Effects, CapCut",Intermediate,5,Depok,78.2,47,3.56,57.8,3142000,21.04,4556.28,Upwork,Hourly,1,1,2024-03-22 6:47:45
4158,"drg. Indah Nashiruddin, S.H.",drg..indah.nashiruddin.s.h.758@konekin.id,$2b$10$lOFBaETjp0rB6RUNP510W.HmiqcIWld0DkEMHVXwzcUg7M6x9Q/2u,creative_worker,Video Editor,VFX Artist,"Filmora, Motion Graphics, 4K Editing, Adobe Premiere Pro, After Effects",Intermediate,4,Bandung,76.3,32,3.5,76.9,6867000,29.15,6676.31,Upwork,Hourly,1,1,2024-07-27 17:28:25
4159,Karma Hidayat,karma.hidayat344@outlook.com,$2b$10$jxo42mUwZQgGLTwD0tWQMetlW9aWGO8i2C5Wg0LdjJb1R0TGcPQcu,creative_worker,Video Editor,VFX Artist,"Adobe Premiere Pro, Sound Design, Final Cut Pro, Color Grading, CapCut",Intermediate,4,Balikpapan,76.1,64,3.12,82.3,3076000,20.35,4172.89,Konekin,Retainer,1,1,2024-01-15 1:47:42
4160,Lukman Habibi,lukman.habibi420@icloud.com,$2b$10$esOP.2sm3zqWj6muZvyqQeqYNMpiTdwvqIyMQQLdl..EvMvim7wim,creative_worker,Video Editor,Videographer,"Sound Design, 4K Editing, Adobe Premiere Pro, Filmora, Color Grading",Intermediate,4,Palembang,72.7,84,3.27,61.4,4300000,37.97,2737.51,PeoplePerHour,Hourly,1,1,2025-01-22 11:44:05
4161,"KH. Teddy Nugroho, S.Pd",kh..teddy.nugroho.s.pd899@outlook.com,$2b$10$RKzRMNnuKrTGcmS1HGNSv.7MVEVgkhhF63fWF30WoQaUWlkY4gYAK,creative_worker,Video Editor,YouTube Editor,"Adobe Premiere Pro, CapCut, 4K Editing",Beginner,1,Bogor,61.2,10,3.61,60.6,7211000,34.9,4302.34,PeoplePerHour,Fixed,0,0,2024-12-26 10:58:04
4162,Eli Prakasa,eli.prakasa965@icloud.com,$2b$10$URVgcu4DLdubHJg54N9.ZuPrUHAy/73IXoPntcHC1UjMaofAzJcYe,creative_worker,Video Editor,Motion Graphic Designer,"After Effects, Filmora, Final Cut Pro, 4K Editing, CapCut, Sound Design, Color Grading",Expert,10,Surabaya,76.4,391,3.73,79.2,1863000,67.23,1180.19,Upwork,Hourly,1,1,2023-05-24 21:30:33
4163,Luhung Hutagalung,luhung.hutagalung451@yahoo.com,$2b$10$uxnQnkSaOojGr0XWBJzKp.iyV/GJjdaPL/ZYjqHpoBMHkbiLIt6Tu,creative_worker,Video Editor,Videographer,"CapCut, 4K Editing, Final Cut Pro, Color Grading, After Effects",Intermediate,5,Palembang,69.2,102,3.68,52.2,4364000,41.4,3770.93,PeoplePerHour,Fixed,1,1,2023-07-18 21:38:25
4164,Embuh Nugroho,embuh.nugroho708@yahoo.com,$2b$10$Y87Y1nCupf1KD6fUhv4xYOEP9it/F3qpwbl8XSm0luc9zyp.fCqka,creative_worker,Video Editor,Motion Graphic Designer,"Final Cut Pro, DaVinci Resolve, Sound Design, Motion Graphics, 4K Editing, Color Grading, Filmora",Expert,10,Solo,78.4,303,3.58,66.2,7409000,42.49,5068.31,Konekin,Milestone,1,1,2024-12-11 3:11:40
4165,"drg. Kadir Uwais, S.E.",drg..kadir.uwais.s.e.767@outlook.com,$2b$10$jxo42mUwZQgGLTwD0tWQMetlW9aWGO8i2C5Wg0LdjJb1R0TGcPQcu,creative_worker,Video Editor,Motion Graphic Designer,"CapCut, Final Cut Pro, Motion Graphics, Color Grading, After Effects",Intermediate,5,Pekanbaru,63.2,95,3.17,47.1,7256000,49.11,4186.97,Koneksi Pribadi,Fixed,1,1,2023-10-20 9:45:30
4166,Dipa Anggriawan,dipa.anggriawan897@gmail.com,$2b$10$eZT5K/vM1d3A6CtN5k88/.bTrmTmBi6ODcYssIUyvEfXz5p6RRM9e,creative_worker,Video Editor,Color Grading Specialist,"Color Grading, DaVinci Resolve, Motion Graphics, Adobe Premiere Pro, Filmora, After Effects, Sound Design",Expert,10,Yogyakarta,92.3,195,4.62,90.3,6249000,46.18,4045.43,Freelancer,Fixed,1,1,2024-04-26 16:51:24
4167,Pranata Saputra,pranata.saputra414@yahoo.com,$2b$10$URVgcu4DLdubHJg54N9.ZuPrUHAy/73IXoPntcHC1UjMaofAzJcYe,creative_worker,Video Editor,Motion Graphic Designer,"Color Grading, Sound Design, 4K Editing, Filmora, Adobe Premiere Pro",Intermediate,4,Bekasi,72.5,147,4.03,51.7,3288000,37.79,4180.88,PeoplePerHour,Retainer,1,1,2024-11-18 10:38:44
4168,Jais Mayasari,jais.mayasari551@yahoo.com,$2b$10$eZT5K/vM1d3A6CtN5k88/.bTrmTmBi6ODcYssIUyvEfXz5p6RRM9e,creative_worker,Video Editor,YouTube Editor,"DaVinci Resolve, Sound Design, 4K Editing, After Effects, Adobe Premiere Pro",Intermediate,5,Makassar,74.6,97,3.74,65.4,942000,40.79,921.72,Konekin,Hourly,1,1,2026-01-10 13:29:05
4169,Diana Marbun,diana.marbun61@icloud.com,$2b$10$URVgcu4DLdubHJg54N9.ZuPrUHAy/73IXoPntcHC1UjMaofAzJcYe,creative_worker,Video Editor,YouTube Editor,"Final Cut Pro, Sound Design, After Effects, Color Grading, Filmora",Intermediate,3,Solo,62.9,32,3.03,53.1,548000,13.92,635.59,Freelancer,Milestone,1,1,2023-06-28 1:00:08
4170,Slamet Mustofa,slamet.mustofa633@outlook.com,$2b$10$11FSd3KX1/9Yk23heGb75OOzUNWz68hTEdhzuznWGR1phW62Rvg9G,creative_worker,Video Editor,Reels & Shorts Editor,"DaVinci Resolve, After Effects, Adobe Premiere Pro",Beginner,1,Palembang,58.5,28,2.83,37.3,3601000,32.97,2042.15,Upwork,Retainer,0,0,2024-01-26 3:39:31
4171,dr. Queen Setiawan,dr..queen.setiawan556@outlook.com,$2b$10$uxnQnkSaOojGr0XWBJzKp.iyV/GJjdaPL/ZYjqHpoBMHkbiLIt6Tu,creative_worker,Video Editor,VFX Artist,"After Effects, Adobe Premiere Pro, CapCut, Motion Graphics, DaVinci Resolve",Intermediate,4,Tangerang,77.2,105,3.94,52.8,3830000,11.67,2935.01,Konekin,Fixed,1,1,2024-09-23 17:40:25
4172,Ellis Kusumo,ellis.kusumo890@outlook.com,$2b$10$URVgcu4DLdubHJg54N9.ZuPrUHAy/73IXoPntcHC1UjMaofAzJcYe,creative_worker,Video Editor,YouTube Editor,"CapCut, Final Cut Pro, Filmora",Beginner,1,Manado,67.5,33,3.35,62,4168000,65.9,5265.56,Konekin,Retainer,1,0,2025-06-25 18:56:05
4173,Manah Sudiati,manah.sudiati701@icloud.com,$2b$10$bF4XAYqEp0/3BZPdEXI9XO24Ao2s38L2PgIvGBGsM.17uQTFT1PaG,creative_worker,Video Editor,Color Grading Specialist,"Final Cut Pro, Color Grading, DaVinci Resolve, Sound Design, 4K Editing",Intermediate,4,Jakarta,75.9,100,3.66,56.7,2141000,51.37,2173.6,Freelancer,Hourly,1,1,2025-08-09 19:19:48
4174,Harja Mansur,harja.mansur652@outlook.com,$2b$10$mMzoiB6EbeUTYWeYgtMVEOr/MXz5MJdRoxTpKpUdC/u6DBJLqfyb6,creative_worker,Video Editor,VFX Artist,"DaVinci Resolve, Filmora, Color Grading",Beginner,2,Bekasi,58.6,7,2.65,29.3,5605000,35.14,3916.84,Fiverr,Milestone,1,1,2023-05-06 16:45:11
4175,Paris Lestari,paris.lestari426@konekin.id,$2b$10$bF4XAYqEp0/3BZPdEXI9XO24Ao2s38L2PgIvGBGsM.17uQTFT1PaG,creative_worker,Video Editor,Videographer,"CapCut, Filmora, Sound Design, After Effects, Color Grading",Intermediate,3,Malang,84,93,4.69,43.8,4959000,62.92,3735.57,Koneksi Pribadi,Hourly,1,1,2025-05-17 10:44:59
4176,Pia Namaga,pia.namaga624@gmail.com,$2b$10$Y87Y1nCupf1KD6fUhv4xYOEP9it/F3qpwbl8XSm0luc9zyp.fCqka,creative_worker,Video Editor,Motion Graphic Designer,"DaVinci Resolve, Sound Design, Adobe Premiere Pro, Final Cut Pro, Color Grading, Motion Graphics, CapCut",Expert,8,Palembang,84.8,450,4.15,54.7,4296000,51.88,3069.61,Toptal,Retainer,1,1,2025-07-09 19:40:40
4177,drg. Yono Yuliarti,drg..yono.yuliarti986@yahoo.com,$2b$10$mMzoiB6EbeUTYWeYgtMVEOr/MXz5MJdRoxTpKpUdC/u6DBJLqfyb6,creative_worker,Video Editor,VFX Artist,"Final Cut Pro, CapCut, Motion Graphics, 4K Editing, Adobe Premiere Pro",Intermediate,4,Makassar,67.4,80,3.26,59.5,7972000,37.38,4255.77,Toptal,Hourly,1,1,2026-03-04 15:30:47
4178,Winda Sudiati,winda.sudiati782@gmail.com,$2b$10$RKzRMNnuKrTGcmS1HGNSv.7MVEVgkhhF63fWF30WoQaUWlkY4gYAK,creative_worker,Video Editor,Video Editor,"Final Cut Pro, Sound Design, Adobe Premiere Pro, DaVinci Resolve, Filmora",Intermediate,3,Tangerang,77.7,133,3.74,61.8,1721000,61.24,1037.62,Fiverr,Retainer,0,1,2025-01-27 19:36:50
4179,"drg. Umi Ramadan, M.TI.",drg..umi.ramadan.m.ti.676@yahoo.com,$2b$10$PpikZa2HME0U0EPOC8RTYOk9CpJrerHruAn9pji4vn5YRyd9D.zUq,creative_worker,Video Editor,VFX Artist,"Color Grading, DaVinci Resolve, Adobe Premiere Pro, Final Cut Pro, Sound Design",Intermediate,4,Medan,72.1,62,3.84,75.4,3030000,21.59,4069.05,Koneksi Pribadi,Hourly,0,1,2026-02-25 14:48:36
4180,Jefri Mandasari,jefri.mandasari672@konekin.id,$2b$10$URVgcu4DLdubHJg54N9.ZuPrUHAy/73IXoPntcHC1UjMaofAzJcYe,creative_worker,Video Editor,YouTube Editor,"Color Grading, Filmora, After Effects, CapCut, Motion Graphics, 4K Editing, Final Cut Pro",Expert,10,Manado,66.9,226,3.21,51.4,2416000,46.46,1509.07,Upwork,Retainer,1,1,2023-09-21 9:26:20
4181,Danang Hidayanto,danang.hidayanto578@icloud.com,$2b$10$XLFVX4iMQWm/y5LJfBH44OcRELtlaZHj9CAVi4BlVC/dZ4YhCozuu,creative_worker,Video Editor,VFX Artist,"4K Editing, Color Grading, After Effects, Filmora, Final Cut Pro",Intermediate,4,Pekanbaru,63.4,147,3.06,67.4,1183000,65.24,1003.53,Upwork,Retainer,1,1,2025-02-21 6:44:09
4182,Zaenab Salahudin,zaenab.salahudin529@gmail.com,$2b$10$esOP.2sm3zqWj6muZvyqQeqYNMpiTdwvqIyMQQLdl..EvMvim7wim,creative_worker,Video Editor,VFX Artist,"CapCut, Color Grading, After Effects, Final Cut Pro, Filmora",Intermediate,4,Bandung,66.8,125,3.42,43.7,5791000,52.63,4269.93,Koneksi Pribadi,Fixed,1,1,2023-09-09 15:57:43
4183,Kezia Waluyo,kezia.waluyo441@konekin.id,$2b$10$.tKY/dCn6kycHE3w7HAQSesWjLUkMO4KLJeW0qQknUh/16n5x9MyS,creative_worker,Video Editor,Motion Graphic Designer,"Final Cut Pro, Adobe Premiere Pro, CapCut, DaVinci Resolve, After Effects",Intermediate,5,Yogyakarta,72.4,105,4.13,59.6,5994000,50.9,5521.88,Fiverr,Retainer,1,1,2024-03-29 6:10:55
4184,Galih Laksita,galih.laksita322@konekin.id,$2b$10$jxo42mUwZQgGLTwD0tWQMetlW9aWGO8i2C5Wg0LdjJb1R0TGcPQcu,creative_worker,Video Editor,VFX Artist,"DaVinci Resolve, Adobe Premiere Pro, Motion Graphics, Final Cut Pro, Color Grading, 4K Editing, CapCut",Expert,13,Surabaya,81.4,248,3.78,71.4,4650000,30.73,2813.61,Freelancer,Hourly,1,1,2023-12-09 19:01:07
4185,Darijan Fujiati,darijan.fujiati65@icloud.com,$2b$10$.tKY/dCn6kycHE3w7HAQSesWjLUkMO4KLJeW0qQknUh/16n5x9MyS,creative_worker,Video Editor,Documentary Editor,"After Effects, Motion Graphics, Color Grading, DaVinci Resolve, Sound Design",Intermediate,4,Bandung,69.7,39,4.23,70.5,7927000,12.44,4244.28,Toptal,Hourly,1,1,2025-09-01 7:57:40
4186,"R.M. Ihsan Rahayu, S.E.I",r.m..ihsan.rahayu.s.e.i535@yahoo.com,$2b$10$KyISMiIAvcHdibbDXG3W0ON.egUn2e4HHKSpu/BXeHTrj0mEwS25u,creative_worker,Video Editor,Documentary Editor,"4K Editing, Final Cut Pro, After Effects, Filmora, Color Grading, DaVinci Resolve, Motion Graphics",Expert,11,Semarang,86.9,362,4.35,61.1,5935000,32.18,3186.64,PeoplePerHour,Retainer,0,1,2025-04-16 6:29:04
4187,Lala Prasasta,lala.prasasta191@gmail.com,$2b$10$URVgcu4DLdubHJg54N9.ZuPrUHAy/73IXoPntcHC1UjMaofAzJcYe,creative_worker,Video Editor,Videographer,"Final Cut Pro, Motion Graphics, Color Grading, Sound Design, 4K Editing, CapCut, Adobe Premiere Pro",Expert,7,Medan,78.4,329,3.42,71.1,10073000,45.43,6191.03,Koneksi Pribadi,Fixed,0,1,2023-10-09 0:10:49
4188,Unggul Farida,unggul.farida374@icloud.com,$2b$10$uxnQnkSaOojGr0XWBJzKp.iyV/GJjdaPL/ZYjqHpoBMHkbiLIt6Tu,creative_worker,Video Editor,Reels & Shorts Editor,"After Effects, CapCut, Filmora, DaVinci Resolve, Sound Design",Intermediate,5,Denpasar,74.6,131,3.64,39.8,2704000,40.66,2736.19,PeoplePerHour,Retainer,0,1,2024-02-07 4:46:52
4189,Nadia Hastuti,nadia.hastuti342@gmail.com,$2b$10$uxnQnkSaOojGr0XWBJzKp.iyV/GJjdaPL/ZYjqHpoBMHkbiLIt6Tu,creative_worker,Video Editor,YouTube Editor,"Color Grading, 4K Editing, Filmora, After Effects, DaVinci Resolve",Intermediate,5,Bogor,69.3,42,2.82,66.5,945000,57.05,1228.52,Koneksi Pribadi,Fixed,1,1,2024-06-16 4:52:44
